Date,GDPC1,INDPRO,CPIAUCSL,PPIFGS,DGS10,UNRATE,UMCSENT
2013-01-02 00:00:00,17662.4,98.1736,231.679,196,1.86,8,73.8
2013-01-03 00:00:00,17662.4,98.1736,231.679,196,1.92,8,73.8
2013-01-04 00:00:00,17662.4,98.1736,231.679,196,1.93,8,73.8
2013-01-07 00:00:00,17662.4,98.1736,231.679,196,1.92,8,73.8
2013-01-08 00:00:00,17662.4,98.1736,231.679,196,1.89,8,73.8
2013-01-09 00:00:00,17662.4,98.1736,231.679,196,1.88,8,73.8
2013-01-10 00:00:00,17662.4,98.1736,231.679,196,1.91,8,73.8
2013-01-11 00:00:00,17662.4,98.1736,231.679,196,1.89,8,73.8
2013-01-14 00:00:00,17662.4,98.1736,231.679,196,1.89,8,73.8
2013-01-15 00:00:00,17662.4,98.1736,231.679,196,1.86,8,73.8
2013-01-16 00:00:00,17662.4,98.1736,231.679,196,1.84,8,73.8
2013-01-17 00:00:00,17662.4,98.1736,231.679,196,1.89,8,73.8
2013-01-18 00:00:00,17662.4,98.1736,231.679,196,1.87,8,73.8
2013-01-21 00:00:00,17662.4,98.1736,231.679,196,1.87,8,73.8
2013-01-22 00:00:00,17662.4,98.1736,231.679,196,1.86,8,73.8
2013-01-23 00:00:00,17662.4,98.1736,231.679,196,1.86,8,73.8
2013-01-24 00:00:00,17662.4,98.1736,231.679,196,1.88,8,73.8
2013-01-25 00:00:00,17662.4,98.1736,231.679,196,1.98,8,73.8
2013-01-28 00:00:00,17662.4,98.1736,231.679,196,2,8,73.8
2013-01-29 00:00:00,17662.4,98.1736,231.679,196,2.03,8,73.8
2013-01-30 00:00:00,17662.4,98.1736,231.679,196,2.03,8,73.8
2013-01-31 00:00:00,17662.4,98.1736,231.679,196,2.02,8,73.8
2013-02-01 00:00:00,17662.4,98.6434,232.937,197.1,2.04,7.7,77.6
2013-02-04 00:00:00,17662.4,98.6434,232.937,197.1,2,7.7,77.6
2013-02-05 00:00:00,17662.4,98.6434,232.937,197.1,2.04,7.7,77.6
2013-02-06 00:00:00,17662.4,98.6434,232.937,197.1,2,7.7,77.6
2013-02-07 00:00:00,17662.4,98.6434,232.937,197.1,1.99,7.7,77.6
2013-02-08 00:00:00,17662.4,98.6434,232.937,197.1,1.99,7.7,77.6
2013-02-11 00:00:00,17662.4,98.6434,232.937,197.1,1.99,7.7,77.6
2013-02-12 00:00:00,17662.4,98.6434,232.937,197.1,2.02,7.7,77.6
2013-02-13 00:00:00,17662.4,98.6434,232.937,197.1,2.05,7.7,77.6
2013-02-14 00:00:00,17662.4,98.6434,232.937,197.1,2,7.7,77.6
2013-02-15 00:00:00,17662.4,98.6434,232.937,197.1,2.01,7.7,77.6
2013-02-18 00:00:00,17662.4,98.6434,232.937,197.1,2.01,7.7,77.6
2013-02-19 00:00:00,17662.4,98.6434,232.937,197.1,2.03,7.7,77.6
2013-02-20 00:00:00,17662.4,98.6434,232.937,197.1,2.02,7.7,77.6
2013-02-21 00:00:00,17662.4,98.6434,232.937,197.1,1.99,7.7,77.6
2013-02-22 00:00:00,17662.4,98.6434,232.937,197.1,1.97,7.7,77.6
2013-02-25 00:00:00,17662.4,98.6434,232.937,197.1,1.88,7.7,77.6
2013-02-26 00:00:00,17662.4,98.6434,232.937,197.1,1.88,7.7,77.6
2013-02-27 00:00:00,17662.4,98.6434,232.937,197.1,1.91,7.7,77.6
2013-02-28 00:00:00,17662.4,98.6434,232.937,197.1,1.89,7.7,77.6
2013-03-01 00:00:00,17662.4,99.047,232.282,196.1,1.86,7.5,78.6
2013-03-04 00:00:00,17662.4,99.047,232.282,196.1,1.88,7.5,78.6
2013-03-05 00:00:00,17662.4,99.047,232.282,196.1,1.9,7.5,78.6
2013-03-06 00:00:00,17662.4,99.047,232.282,196.1,1.95,7.5,78.6
2013-03-07 00:00:00,17662.4,99.047,232.282,196.1,2,7.5,78.6
2013-03-08 00:00:00,17662.4,99.047,232.282,196.1,2.06,7.5,78.6
2013-03-11 00:00:00,17662.4,99.047,232.282,196.1,2.07,7.5,78.6
2013-03-12 00:00:00,17662.4,99.047,232.282,196.1,2.03,7.5,78.6
2013-03-13 00:00:00,17662.4,99.047,232.282,196.1,2.04,7.5,78.6
2013-03-14 00:00:00,17662.4,99.047,232.282,196.1,2.04,7.5,78.6
2013-03-15 00:00:00,17662.4,99.047,232.282,196.1,2.01,7.5,78.6
2013-03-18 00:00:00,17662.4,99.047,232.282,196.1,1.96,7.5,78.6
2013-03-19 00:00:00,17662.4,99.047,232.282,196.1,1.92,7.5,78.6
2013-03-20 00:00:00,17662.4,99.047,232.282,196.1,1.96,7.5,78.6
2013-03-21 00:00:00,17662.4,99.047,232.282,196.1,1.95,7.5,78.6
2013-03-22 00:00:00,17662.4,99.047,232.282,196.1,1.93,7.5,78.6
2013-03-25 00:00:00,17662.4,99.047,232.282,196.1,1.93,7.5,78.6
2013-03-26 00:00:00,17662.4,99.047,232.282,196.1,1.92,7.5,78.6
2013-03-27 00:00:00,17662.4,99.047,232.282,196.1,1.87,7.5,78.6
2013-03-28 00:00:00,17662.4,99.047,232.282,196.1,1.87,7.5,78.6
2013-03-29 00:00:00,17662.4,99.047,232.282,196.1,1.87,7.5,78.6
2013-04-01 00:00:00,17709.671,98.9445,231.797,194.7,1.86,7.6,76.4
2013-04-02 00:00:00,17709.671,98.9445,231.797,194.7,1.88,7.6,76.4
2013-04-03 00:00:00,17709.671,98.9445,231.797,194.7,1.83,7.6,76.4
2013-04-04 00:00:00,17709.671,98.9445,231.797,194.7,1.78,7.6,76.4
2013-04-05 00:00:00,17709.671,98.9445,231.797,194.7,1.72,7.6,76.4
2013-04-08 00:00:00,17709.671,98.9445,231.797,194.7,1.76,7.6,76.4
2013-04-09 00:00:00,17709.671,98.9445,231.797,194.7,1.78,7.6,76.4
2013-04-10 00:00:00,17709.671,98.9445,231.797,194.7,1.84,7.6,76.4
2013-04-11 00:00:00,17709.671,98.9445,231.797,194.7,1.82,7.6,76.4
2013-04-12 00:00:00,17709.671,98.9445,231.797,194.7,1.75,7.6,76.4
2013-04-15 00:00:00,17709.671,98.9445,231.797,194.7,1.72,7.6,76.4
2013-04-16 00:00:00,17709.671,98.9445,231.797,194.7,1.75,7.6,76.4
2013-04-17 00:00:00,17709.671,98.9445,231.797,194.7,1.73,7.6,76.4
2013-04-18 00:00:00,17709.671,98.9445,231.797,194.7,1.72,7.6,76.4
2013-04-19 00:00:00,17709.671,98.9445,231.797,194.7,1.73,7.6,76.4
2013-04-22 00:00:00,17709.671,98.9445,231.797,194.7,1.72,7.6,76.4
2013-04-23 00:00:00,17709.671,98.9445,231.797,194.7,1.74,7.6,76.4
2013-04-24 00:00:00,17709.671,98.9445,231.797,194.7,1.73,7.6,76.4
2013-04-25 00:00:00,17709.671,98.9445,231.797,194.7,1.74,7.6,76.4
2013-04-26 00:00:00,17709.671,98.9445,231.797,194.7,1.7,7.6,76.4
2013-04-29 00:00:00,17709.671,98.9445,231.797,194.7,1.7,7.6,76.4
2013-04-30 00:00:00,17709.671,98.9445,231.797,194.7,1.7,7.6,76.4
2013-05-01 00:00:00,17709.671,99.0383,231.893,196.1,1.66,7.5,84.5
2013-05-02 00:00:00,17709.671,99.0383,231.893,196.1,1.66,7.5,84.5
2013-05-03 00:00:00,17709.671,99.0383,231.893,196.1,1.78,7.5,84.5
2013-05-06 00:00:00,17709.671,99.0383,231.893,196.1,1.8,7.5,84.5
2013-05-07 00:00:00,17709.671,99.0383,231.893,196.1,1.82,7.5,84.5
2013-05-08 00:00:00,17709.671,99.0383,231.893,196.1,1.81,7.5,84.5
2013-05-09 00:00:00,17709.671,99.0383,231.893,196.1,1.81,7.5,84.5
2013-05-10 00:00:00,17709.671,99.0383,231.893,196.1,1.9,7.5,84.5
2013-05-13 00:00:00,17709.671,99.0383,231.893,196.1,1.92,7.5,84.5
2013-05-14 00:00:00,17709.671,99.0383,231.893,196.1,1.96,7.5,84.5
2013-05-15 00:00:00,17709.671,99.0383,231.893,196.1,1.94,7.5,84.5
2013-05-16 00:00:00,17709.671,99.0383,231.893,196.1,1.87,7.5,84.5
2013-05-17 00:00:00,17709.671,99.0383,231.893,196.1,1.95,7.5,84.5
2013-05-20 00:00:00,17709.671,99.0383,231.893,196.1,1.97,7.5,84.5
2013-05-21 00:00:00,17709.671,99.0383,231.893,196.1,1.94,7.5,84.5
2013-05-22 00:00:00,17709.671,99.0383,231.893,196.1,2.03,7.5,84.5
2013-05-23 00:00:00,17709.671,99.0383,231.893,196.1,2.02,7.5,84.5
2013-05-24 00:00:00,17709.671,99.0383,231.893,196.1,2.01,7.5,84.5
2013-05-27 00:00:00,17709.671,99.0383,231.893,196.1,2.01,7.5,84.5
2013-05-28 00:00:00,17709.671,99.0383,231.893,196.1,2.15,7.5,84.5
2013-05-29 00:00:00,17709.671,99.0383,231.893,196.1,2.13,7.5,84.5
2013-05-30 00:00:00,17709.671,99.0383,231.893,196.1,2.13,7.5,84.5
2013-05-31 00:00:00,17709.671,99.0383,231.893,196.1,2.16,7.5,84.5
2013-06-03 00:00:00,17709.671,99.2221,232.445,196.4,2.13,7.5,84.1
2013-06-04 00:00:00,17709.671,99.2221,232.445,196.4,2.14,7.5,84.1
2013-06-05 00:00:00,17709.671,99.2221,232.445,196.4,2.1,7.5,84.1
2013-06-06 00:00:00,17709.671,99.2221,232.445,196.4,2.08,7.5,84.1
2013-06-07 00:00:00,17709.671,99.2221,232.445,196.4,2.17,7.5,84.1
2013-06-10 00:00:00,17709.671,99.2221,232.445,196.4,2.22,7.5,84.1
2013-06-11 00:00:00,17709.671,99.2221,232.445,196.4,2.2,7.5,84.1
2013-06-12 00:00:00,17709.671,99.2221,232.445,196.4,2.25,7.5,84.1
2013-06-13 00:00:00,17709.671,99.2221,232.445,196.4,2.19,7.5,84.1
